carriers,nodes,techs,timesteps,capacity_factor
power,CSTR,GT_pp,2015-01-02 12:00:00,0.0
power,CSTR,GT_pp,2015-01-02 13:00:00,0.0
power,CSTR,GT_pp,2015-01-02 14:00:00,0.0
power,CSTR,GT_pp,2015-01-02 15:00:00,0.0
power,CSTR,GT_pp,2015-01-02 16:00:00,0.0
power,CSTR,GT_pp,2015-01-02 17:00:00,0.0
power,CSTR,GT_pp,2015-01-02 18:00:00,0.0
power,CSTR,GT_pp,2015-01-02 19:00:00,0.0
power,CSTR,GT_pp,2015-01-02 20:00:00,0.0
power,CSTR,GT_pp,2015-01-02 21:00:00,0.0
power,CSTR,GT_pp,2015-01-02 22:00:00,0.0
power,CSTR,GT_pp,2015-01-02 23:00:00,0.0
power,CSTR,GT_pp,2015-01-03 00:00:00,0.0
power,CSTR,GT_pp,2015-01-03 01:00:00,0.0
power,CSTR,GT_pp,2015-01-03 02:00:00,0.0
power,CSTR,GT_pp,2015-01-03 03:00:00,0.0
power,CSTR,GT_pp,2015-01-03 04:00:00,0.0
power,CSTR,GT_pp,2015-01-03 05:00:00,0.0
power,CSTR,GT_pp,2015-01-03 06:00:00,0.0
power,CSTR,GT_pp,2015-01-03 07:00:00,0.0
power,CSTR,GT_pp,2015-01-03 08:00:00,0.0
power,CSTR,GT_pp,2015-01-03 09:00:00,0.0
power,CSTR,GT_pp,2015-01-03 10:00:00,0.0
power,CSTR,GT_pp,2015-01-03 11:00:00,0.0
power,CSTR,GT_pp,2015-01-03 12:00:00,0.0
power,CSTR,GT_pp,2015-01-03 13:00:00,0.0
power,CSTR,GT_pp,2015-01-03 14:00:00,0.0
power,CSTR,GT_pp,2015-01-03 15:00:00,0.0
power,CSTR,GT_pp,2015-01-03 16:00:00,0.0
power,CSTR,GT_pp,2015-01-03 17:00:00,0.0
power,CSTR,GT_pp,2015-01-03 18:00:00,0.0
power,CSTR,GT_pp,2015-01-03 19:00:00,0.0
power,CSTR,GT_pp,2015-01-03 20:00:00,0.0
power,CSTR,GT_pp,2015-01-03 21:00:00,0.0
power,CSTR,GT_pp,2015-01-03 22:00:00,0.0
power,CSTR,GT_pp,2015-01-03 23:00:00,0.0
power,CSTR,HFO_pp,2015-01-01 00:00:00,0.0
power,CSTR,HFO_pp,2015-01-01 01:00:00,0.0
power,CSTR,HFO_pp,2015-01-01 02:00:00,0.0
power,CSTR,HFO_pp,2015-01-01 03:00:00,0.0
power,CSTR,HFO_pp,2015-01-01 04:00:00,0.0
power,CSTR,HFO_pp,2015-01-01 05:00:00,0.0
power,CSTR,HFO_pp,2015-01-01 06:00:00,0.0
power,CSTR,HFO_pp,2015-01-01 07:00:00,0.0
power,CSTR,HFO_pp,2015-01-01 08:00:00,0.0
power,CSTR,HFO_pp,2015-01-01 09:00:00,0.0
power,CSTR,HFO_pp,2015-01-01 10:00:00,0.0
power,CSTR,HFO_pp,2015-01-01 11:00:00,0.0
power,CSTR,HFO_pp,2015-01-01 12:00:00,0.0
power,CSTR,HFO_pp,2015-01-01 13:00:00,0.0
power,CSTR,HFO_pp,2015-01-01 14:00:00,0.0
power,CSTR,HFO_pp,2015-01-01 15:00:00,0.0
power,CSTR,HFO_pp,2015-01-01 16:00:00,0.0
power,CSTR,HFO_pp,2015-01-01 17:00:00,0.0
power,CSTR,HFO_pp,2015-01-01 18:00:00,0.0
power,CSTR,HFO_pp,2015-01-01 19:00:00,0.0
power,CSTR,HFO_pp,2015-01-01 20:00:00,0.0
power,CSTR,HFO_pp,2015-01-01 21:00:00,0.0
power,CSTR,HFO_pp,2015-01-01 22:00:00,0.0
power,CSTR,HFO_pp,2015-01-01 23:00:00,0.0
power,CSTR,HFO_pp,2015-01-02 00:00:00,0.0
power,CSTR,HFO_pp,2015-01-02 01:00:00,0.0
power,CSTR,HFO_pp,2015-01-02 02:00:00,0.0
power,CSTR,HFO_pp,2015-01-02 03:00:00,0.0
power,CSTR,HFO_pp,2015-01-02 04:00:00,0.0
power,CSTR,HFO_pp,2015-01-02 05:00:00,0.0
power,CSTR,HFO_pp,2015-01-02 06:00:00,0.0
power,CSTR,HFO_pp,2015-01-02 07:00:00,0.0
power,CSTR,HFO_pp,2015-01-02 08:00:00,0.0
power,CSTR,HFO_pp,2015-01-02 09:00:00,0.0
power,CSTR,HFO_pp,2015-01-02 10:00:00,0.0
power,CSTR,HFO_pp,2015-01-02 11:00:00,0.0
power,CSTR,HFO_pp,2015-01-02 12:00:00,0.0
power,CSTR,HFO_pp,2015-01-02 13:00:00,0.0
power,CSTR,HFO_pp,2015-01-02 14:00:00,0.0
power,CSTR,HFO_pp,2015-01-02 15:00:00,0.0
power,CSTR,HFO_pp,2015-01-02 16:00:00,0.0
power,CSTR,HFO_pp,2015-01-02 17:00:00,0.0
power,CSTR,HFO_pp,2015-01-02 18:00:00,0.04705671478424101
power,CSTR,HFO_pp,2015-01-02 19:00:00,0.4852554989824047
power,CSTR,HFO_pp,2015-01-02 20:00:00,0.33815950656820304
power,CSTR,HFO_pp,2015-01-02 21:00:00,0.2523335446332895
power,CSTR,HFO_pp,2015-01-02 22:00:00,0.0
power,CSTR,HFO_pp,2015-01-02 23:00:00,0.0
power,CSTR,HFO_pp,2015-01-03 00:00:00,0.0
power,CSTR,HFO_pp,2015-01-03 01:00:00,0.0
power,CSTR,HFO_pp,2015-01-03 02:00:00,0.0
power,CSTR,HFO_pp,2015-01-03 03:00:00,0.0
power,CSTR,HFO_pp,2015-01-03 04:00:00,0.0
power,CSTR,HFO_pp,2015-01-03 05:00:00,0.0
power,CSTR,HFO_pp,2015-01-03 06:00:00,0.0
power,CSTR,HFO_pp,2015-01-03 07:00:00,0.0
power,CSTR,HFO_pp,2015-01-03 08:00:00,0.0
power,CSTR,HFO_pp,2015-01-03 09:00:00,0.0006622186639320875
power,CSTR,HFO_pp,2015-01-03 10:00:00,0.007628586026007542
power,CSTR,HFO_pp,2015-01-03 11:00:00,0.002358561707621582
power,CSTR,HFO_pp,2015-01-03 12:00:00,0.041073644340698996
power,CSTR,HFO_pp,2015-01-03 13:00:00,0.0
power,CSTR,HFO_pp,2015-01-03 14:00:00,0.0
power,CSTR,HFO_pp,2015-01-03 15:00:00,0.0
power,CSTR,HFO_pp,2015-01-03 16:00:00,0.0
power,CSTR,HFO_pp,2015-01-03 17:00:00,0.0
power,CSTR,HFO_pp,2015-01-03 18:00:00,0.0
power,CSTR,HFO_pp,2015-01-03 19:00:00,0.40886086138682004
power,CSTR,HFO_pp,2015-01-03 20:00:00,0.41073341883954007
power,CSTR,HFO_pp,2015-01-03 21:00:00,0.23936184076155204
power,CSTR,HFO_pp,2015-01-03 22:00:00,0.0
power,CSTR,HFO_pp,2015-01-03 23:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-01 00:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-01 01:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-01 02:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-01 03:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-01 04:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-01 05:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-01 06:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-01 07:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-01 08:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-01 09:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-01 10:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-01 11:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-01 12:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-01 13:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-01 14:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-01 15:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-01 16:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-01 17:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-01 18:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-01 19:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-01 20:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-01 21:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-01 22:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-01 23:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-02 00:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-02 01:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-02 02:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-02 03:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-02 04:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-02 05:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-02 06:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-02 07:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-02 08:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-02 09:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-02 10:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-02 11:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-02 12:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-02 13:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-02 14:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-02 15:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-02 16:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-02 17:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-02 18:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-02 19:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-02 20:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-02 21:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-02 22:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-02 23:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-03 00:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-03 01:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-03 02:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-03 03:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-03 04:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-03 05:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-03 06:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-03 07:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-03 08:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-03 09:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-03 10:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-03 11:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-03 12:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-03 13:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-03 14:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-03 15:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-03 16:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-03 17:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-03 18:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-03 19:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-03 20:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-03 21:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-03 22:00:00,0.0
power,CSTR,L_hydro_pp,2015-01-03 23:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-01 00:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-01 01:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-01 02:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-01 03:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-01 04:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-01 05:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-01 06:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-01 07:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-01 08:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-01 09:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-01 10:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-01 11:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-01 12:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-01 13:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-01 14:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-01 15:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-01 16:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-01 17:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-01 18:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-01 19:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-01 20:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-01 21:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-01 22:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-01 23:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-02 00:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-02 01:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-02 02:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-02 03:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-02 04:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-02 05:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-02 06:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-02 07:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-02 08:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-02 09:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-02 10:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-02 11:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-02 12:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-02 13:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-02 14:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-02 15:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-02 16:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-02 17:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-02 18:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-02 19:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-02 20:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-02 21:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-02 22:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-02 23:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-03 00:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-03 01:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-03 02:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-03 03:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-03 04:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-03 05:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-03 06:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-03 07:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-03 08:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-03 09:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-03 10:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-03 11:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-03 12:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-03 13:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-03 14:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-03 15:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-03 16:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-03 17:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-03 18:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-03 19:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-03 20:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-03 21:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-03 22:00:00,0.0
power,CSTR,S_hydro_pp,2015-01-03 23:00:00,0.0
power,CSTR,bio_pp,2015-01-01 00:00:00,0.0
power,CSTR,bio_pp,2015-01-01 01:00:00,0.0
power,CSTR,bio_pp,2015-01-01 02:00:00,0.0
power,CSTR,bio_pp,2015-01-01 03:00:00,0.0
power,CSTR,bio_pp,2015-01-01 04:00:00,0.0
power,CSTR,bio_pp,2015-01-01 05:00:00,0.0
power,CSTR,bio_pp,2015-01-01 06:00:00,0.0
power,CSTR,bio_pp,2015-01-01 07:00:00,0.0
power,CSTR,bio_pp,2015-01-01 08:00:00,0.0
power,CSTR,bio_pp,2015-01-01 09:00:00,0.0
power,CSTR,bio_pp,2015-01-01 10:00:00,0.0
power,CSTR,bio_pp,2015-01-01 11:00:00,0.0
power,CSTR,bio_pp,2015-01-01 12:00:00,0.0
power,CSTR,bio_pp,2015-01-01 13:00:00,0.0
power,CSTR,bio_pp,2015-01-01 14:00:00,0.0
power,CSTR,bio_pp,2015-01-01 15:00:00,0.0
power,CSTR,bio_pp,2015-01-01 16:00:00,0.0
power,CSTR,bio_pp,2015-01-01 17:00:00,0.0
power,CSTR,bio_pp,2015-01-01 18:00:00,0.0
power,CSTR,bio_pp,2015-01-01 19:00:00,0.0
power,CSTR,bio_pp,2015-01-01 20:00:00,0.0
power,CSTR,bio_pp,2015-01-01 21:00:00,0.0
power,CSTR,bio_pp,2015-01-01 22:00:00,0.0
power,CSTR,bio_pp,2015-01-01 23:00:00,0.0
power,CSTR,bio_pp,2015-01-02 00:00:00,0.0
power,CSTR,bio_pp,2015-01-02 01:00:00,0.0
power,CSTR,bio_pp,2015-01-02 02:00:00,0.0
power,CSTR,bio_pp,2015-01-02 03:00:00,0.0
power,CSTR,bio_pp,2015-01-02 04:00:00,0.0
power,CSTR,bio_pp,2015-01-02 05:00:00,0.0
power,CSTR,bio_pp,2015-01-02 06:00:00,0.0
power,CSTR,bio_pp,2015-01-02 07:00:00,0.0
power,CSTR,bio_pp,2015-01-02 08:00:00,0.0
power,CSTR,bio_pp,2015-01-02 09:00:00,0.0
power,CSTR,bio_pp,2015-01-02 10:00:00,0.0
power,CSTR,bio_pp,2015-01-02 11:00:00,0.0
power,CSTR,bio_pp,2015-01-02 12:00:00,0.0
power,CSTR,bio_pp,2015-01-02 13:00:00,0.0
power,CSTR,bio_pp,2015-01-02 14:00:00,0.0
power,CSTR,bio_pp,2015-01-02 15:00:00,0.0
power,CSTR,bio_pp,2015-01-02 16:00:00,0.0
power,CSTR,bio_pp,2015-01-02 17:00:00,0.0
power,CSTR,bio_pp,2015-01-02 18:00:00,0.0
power,CSTR,bio_pp,2015-01-02 19:00:00,0.0
power,CSTR,bio_pp,2015-01-02 20:00:00,0.0
power,CSTR,bio_pp,2015-01-02 21:00:00,0.0
power,CSTR,bio_pp,2015-01-02 22:00:00,0.0
power,CSTR,bio_pp,2015-01-02 23:00:00,0.0
power,CSTR,bio_pp,2015-01-03 00:00:00,0.0
power,CSTR,bio_pp,2015-01-03 01:00:00,0.0
power,CSTR,bio_pp,2015-01-03 02:00:00,0.0
power,CSTR,bio_pp,2015-01-03 03:00:00,0.0
power,CSTR,bio_pp,2015-01-03 04:00:00,0.0
power,CSTR,bio_pp,2015-01-03 05:00:00,0.0
power,CSTR,bio_pp,2015-01-03 06:00:00,0.0
power,CSTR,bio_pp,2015-01-03 07:00:00,0.0
power,CSTR,bio_pp,2015-01-03 08:00:00,0.0
power,CSTR,bio_pp,2015-01-03 09:00:00,0.0
power,CSTR,bio_pp,2015-01-03 10:00:00,0.0
power,CSTR,bio_pp,2015-01-03 11:00:00,0.0
power,CSTR,bio_pp,2015-01-03 12:00:00,0.0
power,CSTR,bio_pp,2015-01-03 13:00:00,0.0
power,CSTR,bio_pp,2015-01-03 14:00:00,0.0
power,CSTR,bio_pp,2015-01-03 15:00:00,0.0
power,CSTR,bio_pp,2015-01-03 16:00:00,0.0
power,CSTR,bio_pp,2015-01-03 17:00:00,0.0
power,CSTR,bio_pp,2015-01-03 18:00:00,0.0
power,CSTR,bio_pp,2015-01-03 19:00:00,0.0
power,CSTR,bio_pp,2015-01-03 20:00:00,0.0
power,CSTR,bio_pp,2015-01-03 21:00:00,0.0
power,CSTR,bio_pp,2015-01-03 22:00:00,0.0
power,CSTR,bio_pp,2015-01-03 23:00:00,0.0
power,CSTR,demand_power,2015-01-01 00:00:00,0.0
power,CSTR,demand_power,2015-01-01 01:00:00,0.0
power,CSTR,demand_power,2015-01-01 02:00:00,0.0
power,CSTR,demand_power,2015-01-01 03:00:00,0.0
power,CSTR,demand_power,2015-01-01 04:00:00,0.0
power,CSTR,demand_power,2015-01-01 05:00:00,0.0
power,CSTR,demand_power,2015-01-01 06:00:00,0.0
power,CSTR,demand_power,2015-01-01 07:00:00,0.0
power,CSTR,demand_power,2015-01-01 08:00:00,0.0
power,CSTR,demand_power,2015-01-01 09:00:00,0.0
power,CSTR,demand_power,2015-01-01 10:00:00,0.0
power,CSTR,demand_power,2015-01-01 11:00:00,0.0
power,CSTR,demand_power,2015-01-01 12:00:00,0.0
power,CSTR,demand_power,2015-01-01 13:00:00,0.0
power,CSTR,demand_power,2015-01-01 14:00:00,0.0
power,CSTR,demand_power,2015-01-01 15:00:00,0.0
power,CSTR,demand_power,2015-01-01 16:00:00,0.0
power,CSTR,demand_power,2015-01-01 17:00:00,0.0
power,CSTR,demand_power,2015-01-01 18:00:00,0.0
power,CSTR,demand_power,2015-01-01 19:00:00,0.0
power,CSTR,demand_power,2015-01-01 20:00:00,0.0
power,CSTR,demand_power,2015-01-01 21:00:00,0.0
power,CSTR,demand_power,2015-01-01 22:00:00,0.0
power,CSTR,demand_power,2015-01-01 23:00:00,0.0
power,CSTR,demand_power,2015-01-02 00:00:00,0.0
power,CSTR,demand_power,2015-01-02 01:00:00,0.0
power,CSTR,demand_power,2015-01-02 02:00:00,0.0
power,CSTR,demand_power,2015-01-02 03:00:00,0.0
power,CSTR,demand_power,2015-01-02 04:00:00,0.0
power,CSTR,demand_power,2015-01-02 05:00:00,0.0
power,CSTR,demand_power,2015-01-02 06:00:00,0.0
power,CSTR,demand_power,2015-01-02 07:00:00,0.0
power,CSTR,demand_power,2015-01-02 08:00:00,0.0
power,CSTR,demand_power,2015-01-02 09:00:00,0.0
power,CSTR,demand_power,2015-01-02 10:00:00,0.0
power,CSTR,demand_power,2015-01-02 11:00:00,0.0
power,CSTR,demand_power,2015-01-02 12:00:00,0.0
power,CSTR,demand_power,2015-01-02 13:00:00,0.0
power,CSTR,demand_power,2015-01-02 14:00:00,0.0
power,CSTR,demand_power,2015-01-02 15:00:00,0.0
power,CSTR,demand_power,2015-01-02 16:00:00,0.0
power,CSTR,demand_power,2015-01-02 17:00:00,0.0
power,CSTR,demand_power,2015-01-02 18:00:00,0.0
power,CSTR,demand_power,2015-01-02 19:00:00,0.0
power,CSTR,demand_power,2015-01-02 20:00:00,0.0
power,CSTR,demand_power,2015-01-02 21:00:00,0.0
power,CSTR,demand_power,2015-01-02 22:00:00,0.0
power,CSTR,demand_power,2015-01-02 23:00:00,0.0
power,CSTR,demand_power,2015-01-03 00:00:00,0.0
power,CSTR,demand_power,2015-01-03 01:00:00,0.0
power,CSTR,demand_power,2015-01-03 02:00:00,0.0
power,CSTR,demand_power,2015-01-03 03:00:00,0.0
power,CSTR,demand_power,2015-01-03 04:00:00,0.0
power,CSTR,demand_power,2015-01-03 05:00:00,0.0
power,CSTR,demand_power,2015-01-03 06:00:00,0.0
power,CSTR,demand_power,2015-01-03 07:00:00,0.0
power,CSTR,demand_power,2015-01-03 08:00:00,0.0
power,CSTR,demand_power,2015-01-03 09:00:00,0.0
power,CSTR,demand_power,2015-01-03 10:00:00,0.0
power,CSTR,demand_power,2015-01-03 11:00:00,0.0
power,CSTR,demand_power,2015-01-03 12:00:00,0.0
power,CSTR,demand_power,2015-01-03 13:00:00,0.0
power,CSTR,demand_power,2015-01-03 14:00:00,0.0
power,CSTR,demand_power,2015-01-03 15:00:00,0.0
power,CSTR,demand_power,2015-01-03 16:00:00,0.0
power,CSTR,demand_power,2015-01-03 17:00:00,0.0
power,CSTR,demand_power,2015-01-03 18:00:00,0.0
power,CSTR,demand_power,2015-01-03 19:00:00,0.0
power,CSTR,demand_power,2015-01-03 20:00:00,0.0
power,CSTR,demand_power,2015-01-03 21:00:00,0.0
power,CSTR,demand_power,2015-01-03 22:00:00,0.0
power,CSTR,demand_power,2015-01-03 23:00:00,0.0
power,CSTR,geo_pp,2015-01-01 00:00:00,0.0
power,CSTR,geo_pp,2015-01-01 01:00:00,0.0
power,CSTR,geo_pp,2015-01-01 02:00:00,0.0
power,CSTR,geo_pp,2015-01-01 03:00:00,0.0
power,CSTR,geo_pp,2015-01-01 04:00:00,0.0
power,CSTR,geo_pp,2015-01-01 05:00:00,0.0
power,CSTR,geo_pp,2015-01-01 06:00:00,0.0
power,CSTR,geo_pp,2015-01-01 07:00:00,0.0
power,CSTR,geo_pp,2015-01-01 08:00:00,0.0
power,CSTR,geo_pp,2015-01-01 09:00:00,0.0
power,CSTR,geo_pp,2015-01-01 10:00:00,0.0
power,CSTR,geo_pp,2015-01-01 11:00:00,0.0
power,CSTR,geo_pp,2015-01-01 12:00:00,0.0
power,CSTR,geo_pp,2015-01-01 13:00:00,0.0
power,CSTR,geo_pp,2015-01-01 14:00:00,0.0
power,CSTR,geo_pp,2015-01-01 15:00:00,0.0
